density,algo,seed,final_cost,iter_to_converge,mean_kl,final_oscillation
8,baseline,0,1650.8338729284908,0,5.48262957910636e-07,0.21052631578947367
8,igpu,0,1650.8338729284908,0,6.982191043048632e-12,0.0
8,baseline,1,1598.4664603378453,22,2.148670082156373e-06,0.19078947368421054
8,igpu,1,1628.5435573570032,0,8.661498653644306e-12,0.0
8,baseline,2,1348.9882577557605,16,5.836384434705009e-07,0.09868421052631579
8,igpu,2,1460.6223654086507,7,9.76844829828658e-12,0.0
8,baseline,3,1380.3231000385779,12,3.5300640336082245e-06,0.19736842105263158
8,igpu,3,1355.837983413487,49,1.0849713711513598e-11,0.0
8,baseline,4,1474.5631116576399,23,7.068733240617877e-07,0.17763157894736842
8,igpu,4,1508.1959615631342,18,8.06921776842536e-12,0.0
16,baseline,0,1684.0510529233625,0,4.00622325743576e-07,0.15789473684210525
16,igpu,0,1666.2040550532865,0,8.500408851889707e-12,0.0
16,baseline,1,1639.1725555279434,0,2.4830959279690355e-06,0.08552631578947367
16,igpu,1,1639.0156950501587,0,1.0093685520613957e-11,0.0
16,baseline,2,1362.2499456464845,24,1.0745073449664656e-05,0.24342105263157893
16,igpu,2,1420.4054945800644,21,1.1868134909536675e-11,0.0
16,baseline,3,1402.6239809171625,17,4.580948813446463e-06,0.32894736842105265
16,igpu,3,1370.0032772800823,13,1.2601273561006202e-11,0.0
16,baseline,4,1446.4465887183865,19,6.648117525345789e-07,0.29605263157894735
16,igpu,4,1522.8644181485697,18,1.0545447965000514e-11,0.0
32,baseline,0,1688.4711446499912,0,2.6045184853690233e-07,0.19736842105263158
32,igpu,0,1688.4711446499912,0,6.110742303801069e-12,0.0
32,baseline,1,1589.7623785704586,29,2.844715700332428e-06,0.2236842105263158
32,igpu,1,1653.940245068166,0,6.7971863759363446e-12,0.0
32,baseline,2,1412.5159436179877,26,1.1861550588943855e-06,0.26973684210526316
32,igpu,2,1404.5218254859444,47,8.756447945774973e-12,0.0
32,baseline,3,1385.9703987064634,13,1.3230676173955349e-05,0.1513157894736842
32,igpu,3,1349.0941462595965,30,9.482369488609877e-12,0.0
32,baseline,4,1477.1699871478108,19,3.7241909668515055e-07,0.23026315789473684
32,igpu,4,1538.0002586064193,18,8.29744040521072e-12,0.0
64,baseline,0,1698.8667874570995,0,2.970090586179165e-07,0.21052631578947367
64,igpu,0,1703.657098394668,0,2.410351235332789e-12,0.0
64,baseline,1,1597.7866541021463,46,3.45724356750455e-06,0.22368421052631576
64,igpu,1,1667.8772459217594,0,2.5158278932513502e-12,0.0
64,baseline,2,1402.1233153297014,41,1.0504220349505863e-05,0.2368421052631579
64,igpu,2,1398.5200041837795,47,3.7148624901582285e-12,0.0
64,baseline,3,1363.9829601151623,13,8.717053144395156e-06,0.2236842105263158
64,igpu,3,1349.9172515096427,30,3.8994105618513775e-12,0.0
64,baseline,4,1429.0539162308623,39,3.0515478638422537e-07,0.1381578947368421
64,igpu,4,1524.7758204068414,18,3.4024464180381433e-12,0.0
128,baseline,0,1710.557214292502,0,1.9033113140276383e-07,0.24342105263157895
128,igpu,0,1710.557214292502,0,5.499731510192251e-13,0.006578947368421052
128,baseline,1,1606.168082620952,47,2.3241662769140093e-06,0.35526315789473684
128,igpu,1,1684.8637500827028,0,6.448056289983526e-13,0.013157894736842105
128,baseline,2,1388.308966864016,51,8.615663979204505e-06,0.256578947368421
128,igpu,2,1393.6306225827539,47,9.91093377208766e-13,0.006578947368421052
128,baseline,3,1371.7872756886588,13,5.931902519479866e-06,0.23026315789473684
128,igpu,3,1350.0895931271518,30,1.0275933437638478e-12,0.0
128,baseline,4,1490.094746386718,18,3.3615482097003274e-07,0.23684210526315788
128,igpu,4,1514.4822378499086,18,7.942490547159908e-13,0.0
